Month,Is_Christmas,Since_Last_Christmas,Next_Christmas,Is_Thanksgiving,Since_Last_Thanksgiving,Next_Thanksgiving,Is_Chinese_NewYear,Since_Last_Chinese_NewYear,Next_Chinese_NewYear,Is_Chinese_GoldenWeek,Since_Last_Chinese_GoldenWeek,Next_Chinese_GoldenWeek,Is_AkshayaTritiya,Since_Last_AkshayaTritiya,Next_AkshayaTritiya,Is_Diwali,Since_Last_Diwali,Next_Diwali,Is_DhanTeras,Since_Last_DhanTeras,Next_DhanTeras,Is_KarwaChauth,Since_Last_KarwaChauth,Next_KarwaChauth,Is_SharadNavratri,Since_Last_SharadNavratri,Next_SharadNavratri,Is_ChaitraNavratri,Since_Last_ChaitraNavratri,Next_ChaitraNavratri,Is_EidAlFitr,Since_Last_EidAlFitr,Next_EidAlFitr,Is_EidAlAdha,Since_Last_EidAlAdha,Next_EidAlAdha,Is_Valentines,Since_Last_Valentines,Next_Valentines,Is_ChineseValentines,Since_Last_ChineseValentines,Next_ChineseValentines,Is_MothersDay,Since_Last_MothersDay,Next_MothersDay,Is_Vicenzaoro_Show,Since_Last_Vicenzaoro_Show,Is_HKIDG_Show,Since_Last_HKIDG_Show,Is_JCK_Show,Since_Last_JCK_Show,Is_IIJS_Show,Since_Last_IIJS_Show,Is_JGWorld_Show,Since_Last_JGWorld_Show,Is_Vicenzaoro_September_Show,Is_IIJS_Signature_Show,Is_IIJS_Tritiya_Show,Is_JGAsia_Show,Is_FedRateChange,Since_Last_FedRateChange,FedRateChange_bps,FedRate,Is_RBIRateChange,Since_Last_RBIRateChange,RBIRateChange_bps,RBIRate,ExchRate__USD_INR,ExchRate__USD_CNY,ExchRate__CNY_INR,ExchRate__EUR_INR,ExchRate__100JPY_INR,ExchRate__GBP_INR,MonthlyMarketReturn__US__SnP500,MonthlyMarketReturn__IND__NIFTY50,MonthlyMarketReturn__CHN__SSE,MonthlyMarketReturn__JPN__Nikkei225,MonthlyMarketReturn__UK__FTSE100,MonthlyReturn__Global_Jewellery_n_Luxury_Index,MonthlyReturn__Indian_Jewellery_n_Luxury_Index,MonthlyMarketReturn__RUS__MOEX,ExchRate__USD_RUB,ExchRate__INR_RUB,MonthlyMarketReturn__Gold,MonthlyMarketReturn__Silver
202405,0,5,7,0,6,6,0,3,8,0,7,5,1,12,0,0,6,6,0,5,5,0,7,5,0,7,5,0,1,11,0,1,10,0,10,1,0,3,9,0,9,3,1,12,0,0,4,0,3,0,11,0,9,0,8,0,0,0,0,0,9,0,5.25,0,14,0,6.5,83.43,7.24,11.52,87.78,53.6,104.58,-4.16,1.24,2.09,-4.88,2.41,-3.5,5.9,4.02,92.15,1.1,3.5,7
202406,0,6,6,0,7,5,0,4,7,0,8,4,0,1,10,0,7,5,0,6,4,0,8,4,0,8,4,0,2,10,0,2,9,1,11,0,0,4,8,0,10,2,0,1,11,0,5,0,4,1,12,0,10,0,9,0,0,0,1,0,10,0,5.25,0,15,0,6.5,83.47,7.24,11.53,89.31,53.4,106.1,4.8,-0.33,-0.58,0.21,1.61,2.2,-1.5,-1.94,90.42,1.09,1.8,14.2
202407,0,7,5,0,8,4,0,5,6,0,9,3,0,2,9,0,8,4,0,7,3,0,9,3,0,9,3,0,3,9,0,3,8,0,1,11,0,5,7,0,11,1,0,2,10,0,6,0,5,0,1,0,11,0,10,0,0,0,0,0,11,0,5.25,0,16,0,6.5,83.44,7.26,11.49,88.37,52.8,105.5,3.47,6.57,-3.87,2.79,-1.31,-4.1,10.3,-5.1,87.21,1.05,-0.1,-1.6
202408,0,8,4,0,9,3,0,6,5,0,10,2,0,3,8,0,9,3,0,8,2,0,10,2,0,10,2,0,4,8,0,4,7,0,2,10,0,6,6,1,12,0,0,3,9,0,7,0,6,0,2,1,12,0,11,0,0,0,0,0,12,0,5.25,0,17,0,6.5,83.72,7.22,11.6,90.99,52.5,107.8,1.13,3.92,-0.97,-1.22,2.53,-1.5,4.7,-6.65,87.64,1.04,5.2,-2.1
202409,0,9,3,0,10,2,0,7,4,0,11,1,0,4,7,0,10,2,0,9,1,0,11,1,0,11,1,0,5,7,0,5,6,0,3,9,0,7,5,0,1,11,0,4,8,0,8,0,7,0,3,0,1,1,12,1,0,0,0,0,13,0,5.25,0,18,0,6.5,83.86,7.09,11.83,90.64,56.08,110.12,2.28,1.14,-3.29,-1.16,0.13,-2.8,6.2,-5.4,90.52,1.08,2.3,-0.5
202410,0,10,2,0,11,1,0,8,3,1,12,0,0,5,6,0,11,1,1,10,0,1,12,0,1,12,0,0,6,6,0,6,5,0,4,8,0,8,4,0,2,10,0,5,7,0,9,0,8,0,4,0,2,0,1,0,0,0,0,1,14,-50,4.75,0,19,0,6.5,83.7,7.01,11.94,92.82,58.99,111.45,2.02,3.48,17.39,-1.88,-1.67,17.4,3.1,8.2,92.24,1.1,4.6,10.2
202411,0,11,1,1,12,0,0,9,2,0,1,11,0,6,5,1,12,0,0,1,11,0,1,11,0,1,10,0,7,5,0,7,4,0,5,7,0,9,3,0,3,9,0,6,6,0,10,0,9,0,5,0,3,0,2,0,0,0,0,0,1,0,4.75,0,20,0,6.5,84.07,7.12,11.81,91.9,56.2,109.1,-0.99,-6.22,-1.7,3.06,-3.14,-1.7,-5.8,-8.5,96.65,1.14,4.1,6.4
202412,1,12,0,0,1,11,0,10,1,0,2,10,0,7,4,0,1,10,0,2,10,0,2,10,0,2,9,0,8,4,0,8,3,0,6,6,0,10,2,0,4,8,0,7,5,0,11,0,10,0,6,0,4,0,3,0,0,0,0,1,2,-25,4.5,0,21,0,6.5,84.45,7.24,11.66,89.98,54.5,107.15,5.73,0.31,0.42,1.6,2.35,4.2,4.4,4.65,106.46,1.25,-3.3,-7.5
202501,0,1,11,0,2,10,1,11,0,0,3,9,0,8,3,0,2,9,0,3,9,0,3,9,0,3,8,0,9,3,0,9,2,0,7,5,0,11,1,0,5,7,0,8,4,1,12,0,11,0,7,0,5,0,4,0,1,0,0,1,1,-25,4.25,1,22,-25,6.25,84.97,7.28,11.67,87.91,54.37,108.38,-2.48,0.05,-1.83,-1.09,0.48,-2.1,1.9,0.42,102.94,1.21,0.8,1.2
202502,0,2,10,0,3,9,0,1,12,0,4,8,0,9,2,0,3,8,0,4,8,0,4,8,0,4,7,0,10,2,0,10,1,0,8,4,1,12,0,0,6,6,0,9,3,0,1,0,12,0,8,0,6,0,5,0,0,0,0,0,1,0,4.25,0,1,0,6.25,85.35,7.33,11.64,88.21,54.55,108.45,2.7,-0.58,-6.3,8.4,-1.3,-3.2,-0.8,1.26,101.64,1.17,3.4,5.1
202503,0,3,9,0,4,8,0,2,11,0,5,7,0,10,1,0,4,7,0,5,7,0,5,7,0,5,6,0,11,1,1,11,0,0,9,3,0,1,11,0,7,5,0,10,2,0,2,1,13,0,9,0,7,0,6,0,0,1,0,0,2,0,4.25,0,2,0,6.25,85.6,7.28,11.76,90.44,57.44,110.2,-1.42,1.18,8.1,7.9,0,4.5,3.5,3.1,88,1.04,2.1,4.3
202504,0,4,8,0,5,7,0,3,10,0,6,6,1,11,0,0,5,6,0,6,6,0,6,6,0,6,5,1,12,0,0,1,11,0,10,2,0,2,10,0,8,4,0,11,1,0,3,0,1,0,10,0,8,0,7,0,0,0,0,0,3,0,4.25,0,3,0,6.25,85.92,7.23,11.88,94.32,58.1,111.8,-5.75,1.57,-0.2,3.1,0.1,-14.8,-2.4,-2.15,84,1.01,2.8,-1.2
202505,0,5,7,0,6,6,0,4,9,0,7,5,0,1,11,0,6,5,0,7,5,0,7,5,0,7,4,0,1,10,0,2,10,0,11,1,0,3,9,0,9,3,1,12,0,0,4,0,2,0,11,0,9,0,8,0,0,0,0,0,4,0,4.25,1,4,-25,6,85.8,7.29,11.77,97.8,59.95,115.1,-0.76,1.24,2.1,-4.9,2.4,2.1,7.2,1.8,83.18,0.98,5.2,8.9
202506,0,6,6,0,7,5,0,5,8,0,8,4,0,2,10,0,7,4,0,8,4,0,8,4,0,8,3,0,2,9,0,3,9,1,12,0,0,4,8,0,10,2,0,1,11,0,5,0,3,1,12,0,10,0,9,0,0,0,1,0,5,0,4.25,0,1,0,6,85.45,7.23,11.82,95.99,58.65,114.25,6.15,1.71,-0.6,0.2,2,0.8,2.1,-4.2,78.46,0.92,-0.4,2.1
202507,0,7,5,0,8,4,0,6,7,0,9,3,0,3,9,0,8,3,0,9,3,0,9,3,0,9,2,0,3,8,0,4,8,0,1,10,0,5,7,0,11,1,0,2,10,0,6,0,4,0,1,0,11,0,10,0,0,0,0,0,6,0,4.25,1,2,-50,5.5,85.78,7.19,11.93,96.81,58.94,116.32,4.96,6.57,-3.9,2.8,-1.3,3.5,8.9,0.6,78.62,0.91,1.9,-0.5
202508,0,8,4,0,9,3,0,7,6,0,10,2,0,4,8,0,9,2,0,10,2,0,10,2,0,10,1,0,4,7,0,5,7,0,2,9,0,6,6,1,12,0,0,3,9,0,7,0,5,0,2,1,12,0,11,0,0,0,0,0,7,0,4.25,0,1,0,5.5,86.2,7.16,12.04,100.56,57.64,118.8,2.17,3.1,-1,-1.2,2.5,-2.2,3.4,-3.45,78,0.91,3.5,7.8
202509,0,9,3,0,10,2,0,8,5,0,11,1,0,5,7,0,10,1,0,11,1,0,11,1,1,11,0,0,5,6,0,6,6,0,3,8,0,7,5,0,1,11,0,4,8,0,8,0,6,0,3,0,1,1,12,1,0,0,0,0,8,0,4.25,0,2,0,5.5,87.5,7.18,12.19,101.75,58.75,120.45,1.91,-2.93,-3.3,-1.2,0.1,-1.5,-1.2,-7.2,78.98,0.89,6.2,12.4
202510,0,10,2,0,11,1,0,9,4,1,12,0,0,6,6,1,11,0,1,12,0,1,12,0,0,1,12,0,6,5,0,7,5,0,4,7,0,8,4,0,2,10,0,5,7,0,9,0,7,0,4,0,2,0,1,0,0,0,0,1,9,-25,4,0,3,0,5.5,88.32,7.13,12.39,103.21,59.83,122.1,3.53,-1.72,17.4,-1.9,-1.5,6.4,4.6,5.85,82.45,0.93,4.4,11.1
202511,0,11,1,1,12,0,0,10,3,0,1,11,0,7,5,0,1,12,0,1,12,0,1,11,0,2,11,0,7,4,0,8,4,0,5,6,0,9,3,0,3,9,0,6,6,0,10,0,8,0,5,0,3,0,2,0,0,0,0,1,1,-25,3.75,0,4,0,5.5,88.37,7.12,12.41,103.27,59.65,121.25,2.27,0.76,-0.5,3.1,0.4,1.1,5.1,-6.42,79.62,0.91,5.5,8.2
202512,1,12,0,0,1,11,0,11,2,0,2,10,0,8,4,0,2,11,0,2,11,0,2,10,0,3,10,0,8,3,0,9,3,0,6,5,0,10,2,0,4,8,0,7,5,0,11,0,9,0,6,0,4,0,3,0,0,0,0,0,1,0,0,0,5,0,5.5,89.5,7.07,12.66,102.24,57.28,123.5,0.13,4.51,1.3,1.2,-1.8,4.8,3.8,2.18,78.1,0.9,2.2,18.5
202601,0,1,11,0,2,10,0,12,1,0,3,9,0,9,3,0,3,10,0,3,10,0,3,9,0,4,9,0,9,2,0,10,2,0,7,4,0,11,1,0,5,7,0,8,4,1,12,0,10,0,7,0,5,0,4,0,1,0,0,1,2,-25,3.5,1,6,-25,5.25,90.02,7.03,12.81,105.79,57.42,125.1,-0.05,1.87,1.1,2.5,2.15,2.3,2.5,3.37,79.1,0.88,1.1,4.8
